quantile,var,coef,se,p
0.1,wealth_index,0.1669,0.0022,0.0
0.1,mother_edu,0.196,0.0018,0.0
0.1,is_urban,0.1981,0.0067,0.0
0.1,is_female,0.0259,0.0047,0.0
0.25,wealth_index,0.192,0.0023,0.0
0.25,mother_edu,0.2126,0.0018,0.0
0.25,is_urban,0.2364,0.0069,0.0
0.25,is_female,0.0163,0.0048,0.0007
0.5,wealth_index,0.2114,0.0026,0.0
0.5,mother_edu,0.2313,0.0021,0.0
0.5,is_urban,0.2145,0.0084,0.0
0.5,is_female,0.0174,0.0058,0.0026
0.75,wealth_index,0.1836,0.0027,0.0
0.75,mother_edu,0.215,0.0021,0.0
0.75,is_urban,0.1529,0.009,0.0
0.75,is_female,0.0183,0.0062,0.003
0.9,wealth_index,0.1635,0.0025,0.0
0.9,mother_edu,0.1887,0.0019,0.0
0.9,is_urban,0.1157,0.0085,0.0
0.9,is_female,0.0048,0.0058,0.4083
