state,n_districts,preschool_age4,preschool_age5,age4_cognitive_mean,age4_picture_desc,age4_listening,age4_counting,age4_relative_comp,age5_cognitive_mean,age5_picture_desc,age5_listening,age5_counting,age5_relative_comp,age4_all4emotions,age5_all4emotions,learning_composite_age5_pct,aser_emotions_4to5_pct
Andhra Pradesh,1,94.3,71.5,52.0,50.9,29.6,22.1,37.7,62.32000000000001,67.3,35.3,46.6,59.8,26.8,34.9,61.800000000000004,30.85
Assam,1,86.5,75.2,56.18000000000001,60.7,13.1,28.0,46.3,66.25999999999999,65.8,26.5,46.5,66.1,19.5,29.5,62.5,24.5
Bihar,1,79.7,74.0,35.2,41.1,15.1,22.7,39.7,50.42,56.0,30.1,48.0,62.1,9.8,25.1,59.333333333333336,17.450000000000003
Chhattisgarh,1,86.89999999999999,65.3,38.62,41.1,10.0,18.9,41.1,50.199999999999996,59.0,37.2,39.8,57.0,17.1,30.8,54.699999999999996,23.950000000000003
Gujarat,1,97.60000000000001,77.80000000000001,44.78,51.5,5.0,22.0,36.7,55.81999999999999,61.9,16.0,31.3,53.9,9.6,17.0,57.00000000000001,13.3
Haryana,1,82.8,57.900000000000006,51.52,57.7,18.1,35.4,39.4,70.58000000000001,78.5,44.7,60.1,64.8,15.4,21.3,65.5,18.35
Himachal Pradesh,1,97.8,80.4,50.58,72.3,21.4,42.6,43.2,67.96,87.4,54.5,48.3,72.1,39.1,40.7,72.03333333333335,39.900000000000006
Jharkhand,1,82.19999999999999,67.4,46.58,49.7,19.7,26.8,44.3,60.839999999999996,65.1,42.3,57.1,61.2,15.0,29.2,63.199999999999996,22.1
Karnataka,1,94.2,95.19999999999999,55.620000000000005,62.8,8.9,19.6,43.7,64.47999999999999,70.3,18.8,42.2,62.0,27.0,40.3,69.23333333333333,33.65
Kerala,1,95.9,90.69999999999999,57.7,65.2,29.6,28.1,52.2,68.28,81.5,45.2,51.5,78.3,65.0,76.6,74.56666666666666,70.8
Madhya Pradesh,1,66.6,60.6,39.54,41.4,21.0,13.7,34.1,50.82,55.6,31.9,39.4,53.4,15.8,29.3,51.86666666666667,22.55
Maharashtra,1,97.5,84.7,51.6,62.2,22.7,32.4,50.3,63.90000000000001,73.1,41.6,53.3,60.2,26.0,30.3,70.36666666666667,28.15
Manipur,1,76.8,77.4,50.26,56.2,1.0,20.1,39.5,74.17999999999999,70.2,0.6,48.4,76.7,19.7,34.7,65.33333333333334,27.200000000000003
Meghalaya,1,73.9,82.8,38.440000000000005,47.6,11.8,17.7,39.9,51.78000000000001,67.6,15.7,36.2,71.5,30.0,38.6,62.19999999999999,34.3
Nagaland,1,80.1,91.2,52.660000000000004,62.8,5.1,36.8,43.6,65.24,77.0,13.7,64.5,69.5,51.5,65.9,77.56666666666666,58.7
Odisha,1,93.4,75.89999999999999,46.04,66.2,21.1,30.7,41.3,61.21999999999999,79.5,36.3,60.0,65.4,35.9,48.4,71.8,42.15
Punjab,1,87.8,62.2,56.019999999999996,57.8,14.4,40.7,48.0,68.92,74.8,36.1,56.9,59.6,20.0,30.1,64.63333333333334,25.05
Rajasthan,1,57.199999999999996,45.9,33.42,45.2,14.1,10.9,23.2,46.739999999999995,63.3,29.3,33.6,47.8,18.5,22.9,47.599999999999994,20.7
Tamil Nadu,1,98.0,62.8,68.14000000000001,78.9,26.4,45.6,60.1,75.72,84.9,50.4,65.2,76.1,26.4,40.0,70.96666666666665,33.2
Telangana,1,96.4,88.0,58.86,53.7,13.0,28.6,38.7,69.20000000000002,72.5,25.4,56.5,62.3,30.7,47.9,72.33333333333333,39.3
Tripura,1,99.2,97.19999999999999,58.379999999999995,71.6,11.7,59.8,56.4,71.74,82.5,22.1,76.7,69.6,26.5,37.5,85.46666666666665,32.0
Uttar Pradesh,1,63.5,65.1,41.06,48.4,25.0,20.0,32.4,54.42,65.7,37.8,46.6,61.3,22.0,31.9,59.13333333333333,26.95
Uttarakhand,1,87.4,68.60000000000001,41.94,52.9,23.9,28.1,41.2,53.7,67.7,39.4,42.5,54.9,32.5,38.2,59.6,35.35
West Bengal,1,94.3,87.8,48.67999999999999,64.0,22.9,27.5,44.3,61.58,73.1,31.9,52.8,67.2,27.3,38.6,71.23333333333333,32.95
