state,n_total,on_track,n_physical,phys_rate,n_learning,learn_rate,mean_HAZ,mean_WAZ,on_track_pct,phys_pct,learn_pct
andaman & nicobar islands,174,0.47126436781609193,264,0.7462121212121212,177,0.6214689265536724,-1.072310606060606,-1.2724812030075188,47.12643678160919,74.62121212121212,62.14689265536724
andhra pradesh,1186,0.3996627318718381,1478,0.6502029769959404,1284,0.633177570093458,-1.518998646820027,-1.4751742627345845,39.96627318718381,65.02029769959404,63.3177570093458
arunachal pradesh,1197,0.14118629908103592,3297,0.7124658780709736,1232,0.19237012987012986,-1.0000788595693055,-0.7343510990665463,14.11862990810359,71.24658780709736,19.237012987012985
assam,4187,0.1509433962264151,6081,0.623910541029436,4336,0.23431734317343172,-1.3988538069396481,-1.497114387556708,15.09433962264151,62.3910541029436,23.43173431734317
bihar,6027,0.2263149162103866,10939,0.5225340524728037,6341,0.4387320611890869,-1.8122689459731236,-1.8769196670888366,22.63149162103866,52.25340524728037,43.87320611890869
chandigarh,58,0.15517241379310345,104,0.75,64,0.203125,-1.1733653846153846,-1.1495145631067962,15.517241379310345,75.0,20.3125
chhattisgarh,3817,0.2483625884202253,4549,0.6153000659485601,4026,0.3897168405365127,-1.5620004396570675,-1.5137323177366704,24.83625884202253,61.53000659485601,38.971684053651266
dadra & nagar haveli and daman & diu,300,0.41333333333333333,467,0.6167023554603854,306,0.6993464052287581,-1.5680728051391861,-1.6503177966101696,41.333333333333336,61.67023554603854,69.93464052287581
goa,143,0.2517482517482518,207,0.714975845410628,148,0.36486486486486486,-1.2528985507246377,-1.3582211538461537,25.174825174825177,71.49758454106279,36.486486486486484
gujarat,4119,0.39839766933721776,5448,0.5813142437591777,4271,0.7169281198782487,-1.539324522760646,-1.8066278010566588,39.839766933721776,58.131424375917774,71.69281198782487
haryana,2565,0.20896686159844055,3663,0.7007917007917008,2752,0.29905523255813954,-1.3538438438438438,-1.1783410388903999,20.896686159844055,70.07917007917008,29.905523255813954
himachal pradesh,1084,0.21863468634686348,1408,0.6796875,1129,0.325066430469442,-1.258778409090909,-1.2524593639575972,21.86346863468635,67.96875,32.5066430469442
jammu & kashmir,1943,0.1883685023160062,3529,0.7517710399546613,1998,0.24024024024024024,-0.6923321054122981,-0.7139385396109389,18.836850231600618,75.17710399546613,24.024024024024023
jharkhand,3389,0.2564178223664798,5300,0.5628301886792453,3569,0.46539646959932757,-1.6766679245283018,-1.7360648061434727,25.64178223664798,56.283018867924525,46.53964695993275
karnataka,3649,0.32803507810359,4413,0.6045773849988669,3950,0.5339240506329114,-1.474908225696805,-1.629484490069181,32.803507810359,60.457738499886695,53.392405063291136
kerala,967,0.2295760082730093,1600,0.77,1017,0.3028515240904621,-1.0559874999999999,-1.0891293532338309,22.95760082730093,77.0,30.285152409046212
ladakh,213,0.18309859154929578,325,0.6892307692307692,214,0.26635514018691586,-0.7604923076923077,-0.6002461538461539,18.30985915492958,68.92307692307692,26.635514018691588
lakshadweep,87,0.19540229885057472,156,0.6923076923076923,92,0.2717391304347826,-1.1666025641025641,-1.0552866242038217,19.54022988505747,69.23076923076923,27.173913043478258
madhya pradesh,6869,0.26306594846411413,8316,0.6014911014911015,7469,0.43928236711741864,-1.6159475709475708,-1.6124743742550656,26.306594846411414,60.14911014911015,43.92823671174186
maharashtra,3580,0.3614525139664804,5269,0.6346555323590815,3761,0.5804307365062483,-1.3855798064148794,-1.7080997177798682,36.14525139664804,63.465553235908146,58.043073650624834
manipur,862,0.048723897911832945,1878,0.7337593184238551,880,0.06363636363636363,-1.1752609158679446,-1.0499154334038054,4.872389791183294,73.37593184238551,6.363636363636363
meghalaya,2703,0.08546059933407325,3909,0.4852903555896649,2765,0.1840867992766727,-1.9189025326170375,-1.4506581956797968,8.546059933407326,48.52903555896649,18.408679927667272
mizoram,1036,0.2808880308880309,1422,0.6462728551336147,1064,0.42105263157894735,-1.3576511954992967,-0.909559748427673,28.08880308880309,64.62728551336147,42.10526315789473
nagaland,1139,0.0026338893766461808,1738,0.622554660529344,1148,0.006968641114982578,-1.2191657077100113,-1.2748795871559633,0.2633889376646181,62.2554660529344,0.6968641114982579
nct of delhi,934,0.24089935760171305,1556,0.6670951156812339,1013,0.386969397828233,-1.3654627249357325,-1.12228025477707,24.089935760171304,66.70951156812339,38.6969397828233
odisha,4390,0.4173120728929385,4773,0.6589147286821705,4533,0.629605118023384,-1.4446050701864657,-1.4842188805346699,41.73120728929385,65.89147286821705,62.9605118023384
puducherry,195,0.18974358974358974,444,0.713963963963964,202,0.24257425742574257,-1.2543693693693696,-1.1588988764044945,18.974358974358974,71.3963963963964,24.257425742574256
punjab,1690,0.2230769230769231,3034,0.7386288727752143,1823,0.29402084476138235,-1.1793803559657217,-0.951305346015087,22.30769230769231,73.86288727752142,29.402084476138235
