state_key,aser_preschool_4to5,aser_letters_4to5,aser_numbers_4to5,literacy_numeracy_state_rate,aser_emotions_4to5,from_aser_direct,women_decisions_state,spousal_violence_state,women_work_state,socioemo_state_index,state_mother_edu_mean,state_urban_share,state_stunting_rate,state_anganwadi_share
andaman & nicobar islands,0.8870000000000001,0.688,0.406,0.6603333333333333,0.41559999999999997,0,0.945,0.172,0.24600000000000002,0.5938917608535388,3.0074626865671643,0.23880597014925373,0.2537878787878788,0.6214689265536724
andhra pradesh,0.8290000000000001,0.591,0.3435,0.5878333333333333,0.3085,1,0.841,0.3,0.42100000000000004,0.4810653136436554,2.6546807191568504,0.2634841909485431,0.34979702300405957,0.633177570093458
arunachal pradesh,0.8403,0.662,0.4347,0.6456666666666667,0.35340000000000005,0,0.87,0.248,0.235,0.3914137543097511,2.2740937223695843,0.1900972590627763,0.2875341219290264,0.19237012987012986
assam,0.8085,0.6325,0.3725,0.6044999999999999,0.245,1,0.9209999999999999,0.32,0.19,0.3822951823454572,2.2667193675889328,0.09122529644268774,0.376089458970564,0.23431734317343172
bihar,0.7685,0.4855,0.35350000000000004,0.5358333333333333,0.17450000000000002,1,0.865,0.4,0.126,0.1587546181663094,1.476059249052704,0.09102652428522219,0.4774659475271963,0.4387320611890869
chandigarh,0.7138333333333332,0.6430833333333333,0.38808333333333334,0.5816666666666666,0.27716666666666673,0,0.946,0.09699999999999999,0.22,0.62832832026587,3.1666666666666665,0.956140350877193,0.25,0.203125
chhattisgarh,0.7609999999999999,0.5005,0.2935,0.5183333333333332,0.23950000000000002,1,0.927,0.20199999999999999,0.391,0.6801005471504039,2.1409829237817575,0.1626405664306539,0.3846999340514399,0.3897168405365127
dadra & nagar haveli and daman & diu,0.8939999999999999,0.62175,0.3474999999999999,0.6210833333333333,0.20725,0,0.919,0.168,0.315,0.6181375128815001,2.621900826446281,0.5557851239669421,0.38329764453961457,0.6993464052287581
goa,0.8939999999999999,0.62175,0.3474999999999999,0.6210833333333333,0.20725,0,0.9309999999999999,0.083,0.319,0.7090513365244906,3.36697247706422,0.6422018348623854,0.285024154589372,0.36486486486486486
gujarat,0.877,0.5670000000000001,0.26649999999999996,0.5701666666666666,0.133,1,0.922,0.14,0.308,0.6382891154704927,2.2070058088364726,0.27125506072874495,0.41868575624082227,0.7169281198782487
haryana,0.7034999999999999,0.6809999999999999,0.4775,0.6206666666666666,0.18350000000000002,1,0.875,0.182,0.188,0.40551411920178526,2.6931069437404966,0.26507856056766343,0.29920829920829917,0.29905523255813954
himachal pradesh,0.8909999999999999,0.7985,0.4545,0.7146666666666666,0.3990000000000001,1,0.9390000000000001,0.083,0.20199999999999999,0.6092006459683131,3.085207907293797,0.0736196319018405,0.3203125,0.325066430469442
jammu & kashmir,0.7138333333333332,0.6430833333333333,0.38808333333333334,0.5816666666666666,0.27716666666666673,0,0.816,0.096,0.184,0.36351754227186484,2.3710295728368016,0.16237677984665935,0.24822896004533868,0.24024024024024024
jharkhand,0.748,0.574,0.41950000000000004,0.5805,0.221,1,0.91,0.315,0.18,0.3569120235769581,1.9794862647163753,0.14680699250802712,0.4371698113207547,0.46539646959932757
karnataka,0.9470000000000001,0.6655,0.309,0.6405,0.33649999999999997,1,0.8270000000000001,0.444,0.37,0.2951661067562524,2.7346258077965393,0.2891390452366062,0.39542261500113307,0.5339240506329114
kerala,0.9330000000000002,0.7334999999999999,0.39799999999999996,0.6881666666666667,0.708,1,0.941,0.099,0.258,0.6549533186660572,3.8512151748666272,0.4303497332542976,0.22999999999999998,0.3028515240904621
ladakh,0.7138333333333332,0.6430833333333333,0.38808333333333334,0.5816666666666666,0.27716666666666673,0,0.804,0.18100000000000002,0.28300000000000003,0.37299358217663253,2.4589665653495443,0.23404255319148937,0.3107692307692308,0.26635514018691586
lakshadweep,0.8870000000000001,0.688,0.406,0.6603333333333333,0.41559999999999997,0,0.922,0.013000000000000001,0.109,0.5425531914893617,3.3950617283950617,0.7839506172839507,0.3076923076923077,0.2717391304347826
madhya pradesh,0.6359999999999999,0.485,0.26549999999999996,0.4621666666666666,0.2255,1,0.86,0.281,0.268,0.3803249587825679,2.1347127448822363,0.17763592339863526,0.3985088985088985,0.43928236711741864
maharashtra,0.9109999999999999,0.6765000000000001,0.42849999999999994,0.672,0.2815,1,0.898,0.252,0.34700000000000003,0.547127356933194,2.877862595419847,0.3051659861530268,0.36534446764091855,0.5804307365062483
manipur,0.7709999999999999,0.632,0.3425,0.5818333333333333,0.272,1,0.948,0.396,0.42100000000000004,0.596535686025219,2.6545075560187597,0.2245961438249088,0.2662406815761449,0.06363636363636363
meghalaya,0.7835,0.576,0.2695,0.543,0.34299999999999997,1,0.9229999999999999,0.16,0.4,0.7142628770012934,1.9747752247752248,0.07842157842157842,0.5147096444103352,0.1840867992766727
mizoram,0.8403,0.662,0.4347,0.6456666666666667,0.35340000000000005,0,0.988,0.109,0.292,0.7636911015093476,2.617267165193746,0.3691366417403127,0.35372714486638535,0.42105263157894735
nagaland,0.8565,0.6990000000000001,0.5065,0.6873333333333335,0.5870000000000001,1,0.992,0.064,0.23600000000000002,0.7510051876274857,2.4462762933484936,0.19783968163729393,0.37744533947065595,0.006968641114982578
nct of delhi,0.7138333333333332,0.6430833333333333,0.38808333333333334,0.5816666666666666,0.27716666666666673,0,0.92,0.226,0.249,0.5107261552596888,2.930896630496859,0.9565962307252999,0.3329048843187661,0.386969397828233
odisha,0.8465,0.7284999999999999,0.4535,0.6761666666666667,0.4215,1,0.902,0.306,0.257,0.4247369162018548,2.122519238558121,0.11806399351964358,0.3410852713178295,0.629605118023384
puducherry,0.8870000000000001,0.688,0.406,0.6603333333333333,0.41559999999999997,0,0.9790000000000001,0.305,0.382,0.6838674927763041,3.797356828193833,0.8237885462555066,0.286036036036036,0.24257425742574257
punjab,0.75,0.6629999999999999,0.488,0.6336666666666666,0.2505,1,0.914,0.11599999999999999,0.223,0.5598201993275301,2.699481865284974,0.30021334958854007,0.2613711272247857,0.29402084476138235
rajasthan,0.5155,0.5425,0.2225,0.42683333333333323,0.207,1,0.877,0.243,0.174,0.3482378868190919,1.8816470588235295,0.17647058823529413,0.3402863490496174,0.29758870809645166
sikkim,0.818375,0.618375,0.40700000000000003,0.6145833333333334,0.286625,0,0.897,0.121,0.327,0.6271759017483043,2.64010989010989,0.17307692307692307,0.23636363636363633,0.3371212121212121
tamil nadu,0.804,0.8190000000000001,0.554,0.7256666666666668,0.332,1,0.9279999999999999,0.381,0.408,0.5600050558895192,3.5747282608695654,0.3953804347826087,0.24474730266893807,0.3861788617886179
telangana,0.922,0.631,0.4255,0.6595,0.39299999999999996,1,0.872,0.369,0.451,0.5119053495910878,2.8002447980416156,0.29473684210526313,0.3592471358428805,0.5761437908496732
tripura,0.982,0.7705,0.6825,0.8116666666666666,0.32,1,0.909,0.207,0.231,0.48837325840532014,2.491271820448878,0.14380714879467996,0.3195266272189349,0.5063291139240507
uttar pradesh,0.643,0.5705,0.33299999999999996,0.5155,0.2695,1,0.8759999999999999,0.348,0.155,0.24673982213546156,2.0449236298292903,0.162523709693521,0.44484783769353975,0.3017500183056308
uttarakhand,0.78,0.603,0.353,0.5786666666666667,0.35350000000000004,1,0.91,0.151,0.21600000000000003,0.5188365564869594,3.044321329639889,0.19298245614035087,0.28841372451516656,0.2717528373266078
